group_type,group,human_label,predicted_match,predicted_uncertain,predicted_non_match,total,match_precision,match_recall_strict,match_recall_kept,match_f1_strict,accuracy,uncertain_rate,missing_from_mongo
chain,chain,MATCH,0,6,0,36,,0.0,1.0,,0.16666666666666666,0.8333333333333334,0
chain,chain,NON_MATCH,0,24,6,36,,0.0,1.0,,0.16666666666666666,0.8333333333333334,0
chain,non_chain,MATCH,91,30,0,252,0.9680851063829787,0.7520661157024794,1.0,0.8465116279069769,0.7301587301587301,0.25793650793650796,0
chain,non_chain,NON_MATCH,3,35,93,252,0.9680851063829787,0.7520661157024794,1.0,0.8465116279069769,0.7301587301587301,0.25793650793650796,0
overall,all,MATCH,91,36,0,288,0.9680851063829787,0.7165354330708661,1.0,0.8235294117647058,0.6597222222222222,0.3298611111111111,0
overall,all,NON_MATCH,3,59,99,288,0.9680851063829787,0.7165354330708661,1.0,0.8235294117647058,0.6597222222222222,0.3298611111111111,0
source,thefork,MATCH,44,28,0,138,1.0,0.6111111111111112,1.0,0.7586206896551725,0.6739130434782609,0.32608695652173914,0
source,thefork,NON_MATCH,0,17,49,138,1.0,0.6111111111111112,1.0,0.7586206896551725,0.6739130434782609,0.32608695652173914,0
source,tripadvisor,MATCH,47,8,0,150,0.94,0.8545454545454545,1.0,0.8952380952380952,0.6466666666666666,0.3333333333333333,0
source,tripadvisor,NON_MATCH,3,42,50,150,0.94,0.8545454545454545,1.0,0.8952380952380952,0.6466666666666666,0.3333333333333333,0
