canonical_name,canonical_city,google_rating_5,tripadvisor_rating_5,thefork_rating_5,rating_range_5
Ristorante Pesce D'amare,Milano,4.3,2.0,4.35,2.35
Pizza Garage,Milano,4.1,2.1,4.4,2.3
SANCEN RISTORANTE CINESE (SHANCHENG) 山城小灶,Milano,4.8,3.1,5.0,1.9
Salotto Brera,Milano,4.4,2.5,4.15,1.9
Osteria delle Coppelle Milano,Milano,3.5,2.4,4.2,1.8
Sandì,Milano,4.7,3.0,4.65,1.7
Trattoria dell'Arco,Milano,4.7,3.0,4.35,1.7
Gòodurie Soresina,Milano,4.3,2.6,4.25,1.7
Ci Sta - Buenos Aires,Milano,4.3,2.8,4.4,1.6
La Jungle De Plein - Bistrot & Garden,Milano,4.6,3.0,4.0,1.6
SlowSud Isola,Milano,4.7,3.1,4.35,1.6
Ristorante Entrée,Milano,4.7,3.2,4.8,1.6
NIMA Sushi,Milano,3.6,2.7,4.25,1.55
Bistro' terrazze,Milano,4.3,3.0,4.5,1.5
Portico84,Milano,4.3,3.0,4.45,1.45
Old Fox Pub,Milano,4.0,2.8,4.25,1.45
Da Te Bistrot di Terrazza Calabritto,Milano,4.6,3.2,4.65,1.45
Fresco Trattoria Pizzeria Sempione,Milano,4.0,3.0,4.4,1.4
Taberna Vasca Jai-Alai,Milano,4.0,3.1,4.5,1.4
Tarantè Napoli | Bar Gastronomia-Enoteca,Milano,4.5,5.0,3.6,1.4
