cuisine,restaurants,mean_rating,multi_platform,mean_range,median_range
Café/Bakery/Bar,3842,4.241,461,0.735,0.5
Pizza,1463,4.087,861,0.52,0.4
Italian,1176,4.149,1013,0.472,0.4
Fast food,640,4.147,207,0.618,0.5
Seafood,446,4.307,381,0.392,0.4
Chinese,423,4.232,312,0.458,0.4
American,281,4.058,139,0.653,0.5
Japanese,265,4.308,156,0.409,0.3
Middle Eastern,170,4.328,49,0.448,0.4
Steakhouse/Grill,165,4.236,125,0.434,0.4
Indian,73,4.282,51,0.45,0.3
Hawaiian,60,4.348,26,0.921,0.75
Peruvian,55,4.042,31,0.71,0.5
International/Fusion,47,4.328,21,0.405,0.3
African,35,4.41,24,0.308,0.25
Mexican,33,3.97,21,0.65,0.5
Spanish,26,4.088,21,0.5,0.5
Korean,25,4.263,13,0.331,0.2
Latin American,23,4.226,17,0.453,0.4
French,21,4.402,20,0.418,0.3
